gene_id	TCGA-E9-A1RF-01A-11R-A157-07	gene_id	TCGA-E9-A1RF-11A-32R-A157-07
ALK|238	9.557	ALK|238	6.8218
ALMS1|7840	870.7138	ALMS1|7840	959.069
ALOX12P2|245	34.8149	removed	removed
removed	removed	ALOX12|239	5.2608
ALOX15B|247	118.4389	ALOX15B|247	21.2681
ALOX15|246	11.9463	removed	removed
ALOX5AP|241	567.2781	ALOX5AP|241	794.9438
ALOX5|240	692.2021	ALOX5|240	296.1477
ALOXE3|59344	6.8265	removed	removed
ALPK1|80216	434.1623	ALPK1|80216	495.1846
ALPK2|115701	146.0861	ALPK2|115701	118.3788
ALPK3|57538	117.0736	ALPK3|57538	882.825
ALPL|249	96.25299999999999	ALPL|249	134.0289
ALS2CL|259173	124.5827	ALS2CL|259173	192.6164
removed	removed	ALS2CR11|151254	32.1027
ALS2CR12|130540	5.8025	ALS2CR12|130540	10.0321
ALS2CR4|65062	415.0482	ALS2CR4|65062	969.5024
ALS2CR8|79800	130.3852	ALS2CR8|79800	175.3612
ALS2|57679	590.8293	ALS2|57679	753.6116
removed	removed	ALX1|8092	10.4334
ALX3|257	7.5091	ALX3|257	8.427
AMACR|23600	537.5830000000001	AMACR|23600	347.9133
AMBRA1|55626	768.9997	AMBRA1|55626	563.8042
AMD1|262	927.0321	AMD1|262	1475.9389999999999
removed	removed	AMDHD1|144193	5.2167
AMDHD2|51005	295.2304	AMDHD2|51005	75.4976
