gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
AKT1|207	3217.9135	AKT1|207	3492.7249
AKT2|208	3657.8586	AKT2|208	3015.873
AKT3|10000	258.7509	AKT3|10000	1318.7831
AKTIP|64400	585.803	AKTIP|64400	710.6812
ALAD|210	918.6685	ALAD|210	2837.3016
ALAS1|211	1170.5559	ALAS1|211	888.8889
lowly_expressed	lowly_expressed	ALB|213	438.4921
ALCAM|214	2984.5573	ALCAM|214	2847.5529
ALDH16A1|126133	494.8524	ALDH16A1|126133	410.0529
ALDH18A1|5832	1631.0913	ALDH18A1|5832	1376.9841
ALDH1A1|216	67.9478	ALDH1A1|216	3028.4392
ALDH1A2|8854	6.5202	ALDH1A2|8854	445.7672
ALDH1A3|220	238.1778	ALDH1A3|220	1007.6653
ALDH1B1|219	497.2546	ALDH1B1|219	653.4392
ALDH1L1|10840	5.1476	ALDH1L1|10840	701.7196
ALDH1L2|160428	106.0398	ALDH1L2|160428	255.6217
ALDH2|217	2227.8655	ALDH2|217	8945.7672
ALDH3A1|218	11.3246	ALDH3A1|218	30.4233
ALDH3A2|224	10186.3418	ALDH3A2|224	2370.0397
ALDH3B1|221	495.8819	ALDH3B1|221	227.5132
ALDH3B2|222	130.7481	ALDH3B2|222	1785.0529
ALDH4A1|8659	476.3212	ALDH4A1|8659	1852.8439
ALDH5A1|7915	807.8243	ALDH5A1|7915	638.2275
ALDH6A1|4329	507.0865	ALDH6A1|4329	727.2619
ALDH7A1|501	2106.0398	ALDH7A1|501	1758.5979
ALDH8A1|64577	19.2176	ALDH8A1|64577	23.1481
ALDH9A1|223	2261.1531	ALDH9A1|223	3363.0952
ALDOA|226	28496.9115	ALDOA|226	13746.3624
lowly_expressed	lowly_expressed	ALDOB|229	9.2593
ALDOC|230	525.7378	ALDOC|230	1897.4868
ALG10B|144245	450.5834	ALG10B|144245	363.0952
ALG10|84920	122.512	ALG10|84920	119.0476
ALG11|440138	32.2581	ALG11|440138	12.8968
ALG12|79087	373.3699	ALG12|79087	422.619
ALG13|79868	505.4907	ALG13|79868	593.9153
ALG14|199857	198.3528	ALG14|199857	165.6746
ALG1L|200810	10.5765	ALG1L|200810	10.2447
ALG1|56052	1148.3596	ALG1|56052	397.5959
ALG2|85365	996.9115	ALG2|85365	852.8439
ALG3|10195	675.3603	ALG3|10195	421.62699999999995
ALG5|29880	886.4104	ALG5|29880	522.8175
ALG6|29929	411.8051	ALG6|29929	241.4021
ALG8|79053	916.9526	ALG8|79053	675.5952
ALG9|79796	460.8785	ALG9|79796	622.6852
ALKBH1|8846	260.8099	ALKBH1|8846	223.8757
ALKBH2|121642	233.6994	ALKBH2|121642	206.6799
ALKBH3|221120	331.1599	ALKBH3|221120	403.4392
ALKBH4|54784	164.5607	ALKBH4|54784	179.795
ALKBH5|54890	3424.9691	ALKBH5|54890	2349.4378
ALKBH6|84964	100.2059	ALKBH6|84964	64.8148
