gene_id	TCGA-BH-A1FB-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FB-11A-33R-A13Q-07
ALDH16A1|126133	388.9052	ALDH16A1|126133	377.9088
ALDH18A1|5832	2361.0214	ALDH18A1|5832	1865.3191
ALDH1A1|216	1009.9795	ALDH1A1|216	2094.9714
ALDH1A2|8854	198.7085	ALDH1A2|8854	328.9745
ALDH1A3|220	1237.2204	ALDH1A3|220	1632.4691
ALDH1B1|219	913.4136	ALDH1B1|219	447.1921
ALDH1L1|10840	18.7849	ALDH1L1|10840	211.2413
ALDH1L2|160428	596.7127	ALDH1L2|160428	273.7416
ALDH2|217	2747.285	ALDH2|217	3661.8394
ALDH3A1|218	5.8703	ALDH3A1|218	27.1319
ALDH3A2|224	3269.7388	ALDH3A2|224	2574.1404
ALDH3B1|221	206.3399	ALDH3B1|221	138.0821
ALDH3B2|222	1322.8647	ALDH3B2|222	6674.9354
ALDH4A1|8659	1041.3854	ALDH4A1|8659	1095.451
ALDH5A1|7915	496.9181	ALDH5A1|7915	617.2511
ALDH6A1|4329	717.0267	ALDH6A1|4329	700.0761
ALDH7A1|501	1881.1271	ALDH7A1|501	2247.5884
ALDH8A1|64577	11.447000000000001	ALDH8A1|64577	15.0195
ALDH9A1|223	2659.2309999999998	ALDH9A1|223	2969.0066
ALDOA|226	26356.9122	ALDOA|226	14050.9402
lowly_expressed	lowly_expressed	ALDOB|229	6.7829999999999995
ALDOC|230	312.8852	ALDOC|230	725.7787
ALG10B|144245	480.1878	ALG10B|144245	456.3976
ALG10|84920	165.835	ALG10|84920	142.4426
ALG11|440138	32.58	ALG11|440138	13.565999999999999
ALG12|79087	393.0144	ALG12|79087	515.0219
ALG13|79868	543.2932	ALG13|79868	594.9641
ALG14|199857	183.4458	ALG14|199857	165.21400000000003
lowly_expressed	lowly_expressed	ALG1L|200810	7.6018
ALG1|56052	696.7508	ALG1|56052	383.4127
ALG2|85365	1045.4946	ALG2|85365	1008.7258
ALG3|10195	529.4981	ALG3|10195	536.8243
ALG5|29880	530.0851	ALG5|29880	542.1538
ALG6|29929	369.2398	ALG6|29929	301.358
ALG8|79053	667.4494	ALG8|79053	656.4954
ALG9|79796	494.57	ALG9|79796	575.5842
ALKBH1|8846	269.7388	ALKBH1|8846	246.1252
ALKBH2|121642	190.1967	ALKBH2|121642	259.6912
ALKBH3|221120	309.3631	ALKBH3|221120	356.1064
ALKBH4|54784	152.0194	ALKBH4|54784	207.6851
ALKBH5|54890	1978.7467	ALKBH5|54890	2241.5225
ALKBH6|84964	51.9519	ALKBH6|84964	73.6438
