gene_id	TCGA-E2-A15E-01A-11R-A12D-07	gene_id	TCGA-E2-A15E-06A-11R-A12D-07
ALKBH1|8846	301.1134	ALKBH1|8846	339.7363
ALKBH2|121642	175.6073	ALKBH2|121642	166.855
ALKBH3|221120	255.5668	ALKBH3|221120	247.081
ALKBH4|54784	280.1468	ALKBH4|54784	230.2561
ALKBH5|54890	1912.5709	ALKBH5|54890	1855.7137
ALKBH6|84964	112.3482	ALKBH6|84964	222.2222
ALKBH7|84266	261.6397	ALKBH7|84266	297.1751
ALKBH8|91801	206.4777	ALKBH8|91801	251.6008
ALK|238	10.1215	lowly_expressed	lowly_expressed
ALMS1P|200420	8.0972	lowly_expressed	lowly_expressed
