gene_id	TCGA-BH-A0DL-01A-11R-A115-07	gene_id	TCGA-BH-A0DL-11A-13R-A115-07
ALG11|440138	19.4565	ALG11|440138	20.794
ALG12|79087	209.6973	ALG12|79087	412.0983
ALG13|79868	453.6751	ALG13|79868	521.109
ALG14|199857	122.2977	ALG14|199857	142.092
ALG1L2|644974	9.4565	lowly_expressed	lowly_expressed
ALG1L|200810	204.5182	ALG1L|200810	5.1607
ALG1|56052	543.2767	ALG1|56052	430.9704
ALG2|85365	764.6695	ALG2|85365	901.7013
ALG3|10195	909.8209	ALG3|10195	437.3031
ALG5|29880	270.2285	ALG5|29880	473.535
ALG6|29929	542.9277	ALG6|29929	261.8147
ALG8|79053	572.2668	ALG8|79053	619.4077
ALG9|79796	438.2335	ALG9|79796	645.5577
ALKBH1|8846	296.7881	ALKBH1|8846	208.2546
ALKBH2|121642	270.8462	ALKBH2|121642	264.6503
