gene_id	TCGA-BH-A0B8-01A-21R-A056-07	gene_id	TCGA-BH-A0B8-11A-41R-A089-07
AHR|196	597.3802	AHR|196	1940.5941
AHSA1|10598	2404.2143	AHSA1|10598	1223.4284
AHSA2|130872	258.0536	AHSA2|130872	412.7401
AIDA|64853	785.6629	AIDA|64853	2690.7217
AIF1L|83543	411.8755	AIF1L|83543	3645.473
AIF1|199	182.7497	AIF1|199	400.8112
AIFM1|9131	1107.5181	AIFM1|9131	1250.1491
AIFM2|84883	555.1366	AIFM2|84883	3596.3259
AIFM3|150209	22.9585	lowly_expressed	lowly_expressed
AIG1|51390	1018.4391	AIG1|51390	1590.3614
AIM1L|55057	53.2637	lowly_expressed	lowly_expressed
AIM1|202	1835.3026	AIM1|202	2704.5211
AIM2|9447	5.9692	AIM2|9447	5.7259
AIMP1|9255	1317.019	AIMP1|9255	848.3407
AIMP2|7965	869.4844	AIMP2|7965	247.3387
AIP|9049	1341.2356	AIP|9049	733.8662
AJAP1|55966	99.1807	AJAP1|55966	9.5431
AK1|203	370.5502	AK1|203	736.2519
AK2|204	1546.0255	AK2|204	2292.7305
AK3L1|205	169.8929	AK3L1|205	1014.434
AK3|50808	872.8822	AK3|50808	3026.6015
AK5|26289	16.9893	AK5|26289	117.8576
AK7|122481	19.2851	lowly_expressed	lowly_expressed
AKAP10|11216	711.7135	AKAP10|11216	600.7396
AKAP11|11215	1465.2116	AKAP11|11215	2867.7085
AKAP12|9590	617.1245	AKAP12|9590	13106.048
AKAP13|11214	2926.2906	AKAP13|11214	2759.8712
AKAP1|8165	2406.5101	AKAP1|8165	4051.5329
AKAP2|11217	638.1775	AKAP2|11217	3563.2494
lowly_expressed	lowly_expressed	AKAP3|10566	16.7005
AKAP5|9495	223.1566	AKAP5|9495	22.9035
AKAP6|9472	28.9277	AKAP6|9472	177.5021
AKAP7|9465	61.0696	AKAP7|9465	333.055
AKAP8L|26993	1083.1821	AKAP8L|26993	638.9121
AKAP8|10270	604.7269	AKAP8|10270	438.5065
AKAP9|10142	1447.7631	AKAP9|10142	1678.6353
AKD1|221264	95.0482	AKD1|221264	115.4718
AKIRIN1|79647	712.1727	AKIRIN1|79647	1587.4985
AKIRIN2|55122	634.1138	AKIRIN2|55122	1004.8909
AKNA|80709	201.5756	AKNA|80709	741.0235
AKR1A1|10327	1540.5154	AKR1A1|10327	1305.0221
AKR1B10|57016	1308.1754	AKR1B10|57016	269.1161
AKR1B15|441282	11.4793	AKR1B15|441282	9.5431
AKR1B1|231	496.82199999999995	AKR1B1|231	754.3839
AKR1C1|1645	2922.6172	AKR1C1|1645	9377.5498
AKR1C2|1646	1022.1125	AKR1C2|1646	8974.83
AKR1C3|8644	1083.6413	AKR1C3|8644	4629.369000000001
AKR1E2|83592	5.0509	AKR1E2|83592	46.2841
AKR7A2|8574	1147.4659	AKR7A2|8574	1590.3614
AKR7A3|22977	871.0455	lowly_expressed	lowly_expressed
AKR7L|246181	19.7443	AKR7L|246181	6.6802
AKT1S1|84335	1332.0522	AKT1S1|84335	1027.3172
AKT1|207	4923.6802	AKT1|207	3678.8739
AKT2|208	4186.7123	AKT2|208	6348.0854
AKT3|10000	279.6345	AKT3|10000	1067.8755
AKTIP|64400	532.8439	AKTIP|64400	779.5348
ALAD|210	691.5101	ALAD|210	4621.7345
ALAS1|211	769.1098	ALAS1|211	1391.3873
ALB|213	63.8246	ALB|213	138.8524
