gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
AK3|50808	1371.598	AK3|50808	2210.8074
AK5|26289	295.6687	AK5|26289	1026.076
AK7|122481	6.3539	AK7|122481	65.3472
AKAP10|11216	344.3821	AKAP10|11216	686.4593
AKAP11|11215	1308.9061	AKAP11|11215	2779.7675
AKAP12|9590	708.2495	lowly_expressed	lowly_expressed
AKAP13|11214	3644.1809	AKAP13|11214	4545.3974
AKAP1|8165	5537.6469	AKAP1|8165	3131.3227
AKAP2|11217	778.7906	AKAP2|11217	1427.1505
AKAP3|10566	35.1583	AKAP3|10566	56.2363
AKAP5|9495	99.5446	AKAP5|9495	176.563
AKAP6|9472	140.2097	AKAP6|9472	311.9698
AKAP7|9465	397.755	AKAP7|9465	247.8794
AKAP8L|26993	979.7734	AKAP8L|26993	776.3117
AKAP8|10270	881.9231	AKAP8|10270	868.049
AKAP9|10142	2165.4135	AKAP9|10142	3958.8439
AKD1|221264	226.1993	AKD1|221264	186.6164
AKIRIN1|79647	1050.5136	AKIRIN1|79647	1387.0562
AKIRIN2|55122	806.5234	AKIRIN2|55122	704.6811
lowly_expressed	lowly_expressed	AKNAD1|254268	11.9416
AKNA|80709	641.7452	AKNA|80709	799.5602
AKR1A1|10327	1491.8988	AKR1A1|10327	1321.3949
lowly_expressed	lowly_expressed	AKR1B15|441282	34.5586
AKR1B1|231	815.8424	AKR1B1|231	820.2953
AKR1C1|1645	170.2849	AKR1C1|1645	949.7330000000001
AKR1C2|1646	132.585	AKR1C2|1646	796.4185
AKR1C3|8644	200.7836	AKR1C3|8644	797.6751
lowly_expressed	lowly_expressed	AKR1D1|6718	9.1109
AKR1E2|83592	94.8851	AKR1E2|83592	53.0946
AKR7A2|8574	812.8773	AKR7A2|8574	870.8765
AKR7A3|22977	16.0966	AKR7A3|22977	207.0374
AKR7L|246181	9.7427	AKR7L|246181	38.3286
AKT1S1|84335	1052.6316	AKT1S1|84335	648.759
AKT1|207	2865.1911	AKT1|207	2698.0836
AKT2|208	3270.1472	AKT2|208	2419.1015
AKT3|10000	284.2317	AKT3|10000	1489.1612
AKTIP|64400	555.4887	AKTIP|64400	648.5611
ALAD|210	1218.6805	ALAD|210	2036.4436
ALAS1|211	1014.0845	ALAS1|211	773.17
ALB|213	138.0917	ALB|213	1635.2498
ALCAM|214	953.5105	ALCAM|214	5422.2432
ALDH16A1|126133	602.7745	ALDH16A1|126133	326.1074
ALDH18A1|5832	2310.2827	ALDH18A1|5832	1366.3211
ALDH1A1|216	354.1247	ALDH1A1|216	2912.9752
ALDH1A2|8854	30.4988	ALDH1A2|8854	238.1401
ALDH1A3|220	1264.2931	ALDH1A3|220	1560.0094
ALDH1B1|219	689.6114	ALDH1B1|219	486.962
ALDH1L1|10840	36.4291	ALDH1L1|10840	422.2432
ALDH1L2|160428	360.0551	ALDH1L2|160428	309.4565
ALDH2|217	880.6523	ALDH2|217	5074.4581
ALDH3A1|218	17.3674	ALDH3A1|218	83.2548
ALDH3A2|224	1085.6719	ALDH3A2|224	2805.5294
ALDH3B1|221	129.6198	ALDH3B1|221	144.5178
ALDH3B2|222	187.6522	lowly_expressed	lowly_expressed
ALDH4A1|8659	516.7849	ALDH4A1|8659	1252.5919
ALDH5A1|7915	442.6559	ALDH5A1|7915	575.2435
ALDH6A1|4329	450.0688	ALDH6A1|4329	770.3456
ALDH7A1|501	3486.1802	ALDH7A1|501	2826.8929
ALDH8A1|64577	45.7482	ALDH8A1|64577	24.191
ALDH9A1|223	5483.0033	ALDH9A1|223	2978.6365
ALDOA|226	12669.2788	ALDOA|226	11034.8728
ALDOB|229	6.3539	lowly_expressed	lowly_expressed
ALDOC|230	657.8418	ALDOC|230	998.4292
ALG10B|144245	307.1058	ALG10B|144245	502.6704
