gene_id	TCGA-BH-A0DP-01A-21R-A056-07	gene_id	TCGA-BH-A0DP-11A-12R-A089-07
AKR1A1|10327	2029.5757	AKR1A1|10327	1510.3045
AKR1B10|57016	5.1436	AKR1B10|57016	226.9528
AKR1B15|441282	7.7154	lowly_expressed	lowly_expressed
AKR1B1|231	900.1286	AKR1B1|231	707.3191
AKR1C1|1645	223.7462	AKR1C1|1645	1366.8052
AKR1C2|1646	142.7347	AKR1C2|1646	897.9730000000001
AKR1C3|8644	366.0523	AKR1C3|8644	801.2891
AKR1E2|83592	27.0039	AKR1E2|83592	13.2304
AKR7A2|8574	905.2722	AKR7A2|8574	1106.2675
AKR7A3|22977	133.7334	AKR7A3|22977	229.3275
AKR7L|246181	7.7154	AKR7L|246181	10.1773
AKT1S1|84335	1086.5838	AKT1S1|84335	787.3802
AKT1|207	3234.0334	AKT1|207	3105.4194
AKT2|208	2162.4518	AKT2|208	2624.7138
AKT3|10000	596.2280000000001	AKT3|10000	985.1582
AKTIP|64400	555.6622	AKTIP|64400	621.6097
ALAD|210	1309.9014	ALAD|210	1945.2125
ALAS1|211	813.9734	ALAS1|211	654.3974
lowly_expressed	lowly_expressed	ALAS2|212	8.8203
ALB|213	35.5765	ALB|213	1499.7879999999998
ALCAM|214	5923.2748	ALCAM|214	7358.8330000000005
ALDH16A1|126133	696.9567	ALDH16A1|126133	427.4447
ALDH18A1|5832	2467.6382	ALDH18A1|5832	1771.5207
ALDH1A1|216	593.2276	ALDH1A1|216	1778.3055
ALDH1A2|8854	43.7205	ALDH1A2|8854	125.1802
ALDH1A3|220	496.5581	ALDH1A3|220	687.5244
ALDH1B1|219	1070.7244	ALDH1B1|219	482.0626
ALDH1L1|10840	36.4338	ALDH1L1|10840	181.4944
ALDH1L2|160428	493.3562	ALDH1L2|160428	273.0896
ALDH2|217	2653.6648	ALDH2|217	4905.4363
ALDH3A1|218	5.5722	ALDH3A1|218	351.4545
ALDH3A2|224	2128.5898	ALDH3A2|224	3088.1181
ALDH3B1|221	880.8401	ALDH3B1|221	179.1197
ALDH3B2|222	401.2002	ALDH3B2|222	4896.6161
ALDH4A1|8659	411.0587	ALDH4A1|8659	992.6215
ALDH5A1|7915	248.1783	ALDH5A1|7915	642.8632
ALDH6A1|4329	567.1239	ALDH6A1|4329	805.1565
ALDH7A1|501	1231.8903	ALDH7A1|501	3476.5499
ALDH9A1|223	3704.2435	ALDH9A1|223	2457.8068
ALDOA|226	27102.8718	ALDOA|226	23051.1407
ALDOC|230	178.3112	ALDOC|230	862.6919
ALG10B|144245	317.6168	ALG10B|144245	269.6972
ALG10|84920	141.4488	ALG10|84920	81.7573
lowly_expressed	lowly_expressed	ALG11|440138	11.5342
ALG12|79087	610.3729	ALG12|79087	502.4171
ALG13|79868	399.05699999999996	ALG13|79868	517.0045
ALG14|199857	167.1667	ALG14|199857	185.9045
ALG1L|200810	6.9096	ALG1L|200810	6.2149
ALG1|56052	981.8388	ALG1|56052	487.0427
ALG2|85365	820.8315	ALG2|85365	752.4383
ALG3|10195	543.0776	ALG3|10195	389.7888
ALG5|29880	454.3506	ALG5|29880	692.7317
ALG6|29929	501.0716	ALG6|29929	194.3855
ALG8|79053	1133.7334	ALG8|79053	672.038
ALG9|79796	678.0969	ALG9|79796	596.7738
ALKBH1|8846	254.1792	ALKBH1|8846	241.2009
ALKBH2|121642	296.6138	ALKBH2|121642	283.9454
ALKBH3|221120	412.3446	ALKBH3|221120	494.2753
ALKBH4|54784	349.3356	ALKBH4|54784	254.5297
ALKBH5|54890	2269.1384	ALKBH5|54890	2386.3659
ALKBH6|84964	85.2979	ALKBH6|84964	63.7775
ALKBH7|84266	927.9897	ALKBH7|84266	439.9966
