gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
ALDH2|217	4494.5592	ALDH2|217	9498.3849
lowly_expressed	lowly_expressed	ALDH3A1|218	874.0194
ALDH3A2|224	2085.8538	ALDH3A2|224	3325.3346
ALDH3B1|221	153.2002	ALDH3B1|221	539.9169
ALDH3B2|222	10601.6622	ALDH3B2|222	963.0826
ALDH4A1|8659	3984.9199	ALDH4A1|8659	1749.8846
ALDH5A1|7915	309.8278	ALDH5A1|7915	709.2755
ALDH6A1|4329	1150.2425	ALDH6A1|4329	903.8486
ALDH7A1|501	1722.2175	ALDH7A1|501	2824.6424
ALDH8A1|64577	5.4837	ALDH8A1|64577	9.6908
ALDH9A1|223	3237.7688	ALDH9A1|223	4177.2035
ALDOA|226	21658.8124	ALDOA|226	13546.3775
ALDOC|230	133.6646	ALDOC|230	2410.706
ALG10B|144245	1128.2666	ALG10B|144245	562.0674
ALG10|84920	356.7818	ALG10|84920	167.9742
ALG11|440138	20.5638	lowly_expressed	lowly_expressed
ALG12|79087	492.5028	ALG12|79087	544.9931
ALG13|79868	794.7905	ALG13|79868	393.1703
ALG14|199857	200.8397	ALG14|199857	149.054
lowly_expressed	lowly_expressed	ALG1L|200810	19.2109
ALG1|56052	1211.6768	ALG1|56052	521.3013
ALG2|85365	1165.6242	ALG2|85365	760.0369
ALG3|10195	664.5532	ALG3|10195	534.3793
ALG5|29880	629.9375	ALG5|29880	567.605
ALG6|29929	527.1185	ALG6|29929	270.4199
ALG8|79053	859.9092	ALG8|79053	752.6534
ALG9|79796	540.1422	ALG9|79796	630.826
ALKBH1|8846	746.8083	ALKBH1|8846	186.8943
ALKBH2|121642	234.7699	ALKBH2|121642	227.9649
ALKBH3|221120	289.9494	ALKBH3|221120	242.7319
ALKBH4|54784	268.0696	ALKBH4|54784	214.8823
ALKBH5|54890	1461.0573	ALKBH5|54890	1877.5588
