gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
ALG12|79087	338.6881	ALG12|79087	269.9069
ALG13|79868	587.0147	ALG13|79868	417.787
ALG14|199857	180.3882	ALG14|199857	87.9007
ALG1L|200810	6.4826	ALG1L|200810	37.0114
ALG1|56052	825.0803	ALG1|56052	206.8925
ALG2|85365	1242.9719	ALG2|85365	284.9018
ALG3|10195	790.1606	ALG3|10195	403.3092
ALG5|29880	574.6319	ALG5|29880	264.2192
ALG6|29929	193.4404	ALG6|29929	140.6412
ALG8|79053	776.4391	ALG8|79053	173.2161
ALG9|79796	561.5797	ALG9|79796	396.5874
ALKBH1|8846	244.6452	ALKBH1|8846	361.4271
ALKBH2|121642	158.6345	ALKBH2|121642	153.0507
ALKBH3|221120	176.0375	ALKBH3|221120	577.0424
ALKBH4|54784	237.7242	ALKBH4|54784	188.72799999999998
ALKBH5|54890	3020.1205	ALKBH5|54890	9723.2937
ALKBH6|84964	71.6198	ALKBH6|84964	42.3992
ALKBH7|84266	398.2597	ALKBH7|84266	1191.3133
ALKBH8|91801	200.8032	ALKBH8|91801	311.789
ALMS1P|200420	14.0562	lowly_expressed	lowly_expressed
ALMS1|7840	1048.5274	ALMS1|7840	341.2616
ALOX12P2|245	62.248999999999995	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ALOX12|239	5.1706
ALOX15B|247	20.415	ALOX15B|247	19.6484
